Year of Year Date,Adjusted for Inflation Notes,Adjusted for Inflation Title,Format,Metric,Year,Value (For Charting),Adjusted for Inflation Flag,Year Date,Format Value # (Billion),Format Value # (Million),Total Value # (Billion),Total Value # (Million),Total Value For Year,Value (Actual),Year (copy)
1996,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette,Value (Adjusted),1996,3809.252082218," (adjusted for inflation, 2024 dollars)",1996,$3.8B,,$25.1B,,$25058.7B,3809.252082218,1996
1997,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette,Value (Adjusted),1997,2976.038880374," (adjusted for inflation, 2024 dollars)",1997,$3.0B,,$23.9B,,$23916.2B,2976.038880374,1997
1998,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette,Value (Adjusted),1998,2732.558350307," (adjusted for inflation, 2024 dollars)",1998,$2.7B,,$26.4B,,$26386.8B,2732.558350307,1998
1999,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette,Value (Adjusted),1999,1998.873003601," (adjusted for inflation, 2024 dollars)",1999,$2.0B,,$27.5B,,$27461.3B,1998.873003601,1999
2000,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette,Value (Adjusted),2000,1140.356062718," (adjusted for inflation, 2024 dollars)",2000,$1.1B,,$26.1B,,$26092.8B,1140.356062718,2000
2001,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette,Value (Adjusted),2001,643.673532468," (adjusted for inflation, 2024 dollars)",2001,,$643.7M,$24.3B,,$24348.0B,643.673532468,2001
2002,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette,Value (Adjusted),2002,365.825192885," (adjusted for inflation, 2024 dollars)",2002,,$365.8M,$22.0B,,$21998.0B,365.825192885,2002
2003,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette,Value (Adjusted),2003,184.2922875," (adjusted for inflation, 2024 dollars)",2003,,$184.3M,$20.2B,,$20209.8B,184.2922875,2003
2004,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette,Value (Adjusted),2004,39.356428269," (adjusted for inflation, 2024 dollars)",2004,,$39.4M,$20.5B,,$20500.4B,39.356428269,2004
2005,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette,Value (Adjusted),2005,21.041095238," (adjusted for inflation, 2024 dollars)",2005,,$21.0M,$19.7B,,$19739.9B,21.041095238,2005
2006,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette,Value (Adjusted),2006,5.757188988," (adjusted for inflation, 2024 dollars)",2006,,$5.8M,$18.3B,,$18297.7B,5.757188988,2006
2007,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette,Value (Adjusted),2007,4.538718639," (adjusted for inflation, 2024 dollars)",2007,,$4.5M,$16.1B,,$16113.8B,4.538718639,2007
2008,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette,Value (Adjusted),2008,1.311268770," (adjusted for inflation, 2024 dollars)",2008,,$1.3M,$12.8B,,$12787.5B,1.311268770,2008
1987,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette Single,Value (Adjusted),1987,39.487259683," (adjusted for inflation, 2024 dollars)",1987,,$39.5M,$15.4B,,$15364.1B,39.487259683,1987
1988,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette Single,Value (Adjusted),1988,151.938966188," (adjusted for inflation, 2024 dollars)",1988,,$151.9M,$16.6B,,$16585.2B,151.938966188,1988
1989,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette Single,Value (Adjusted),1989,492.28935," (adjusted for inflation, 2024 dollars)",1989,,$492.3M,$16.6B,,$16646.3B,492.28935,1989
1990,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette Single,Value (Adjusted),1990,618.977758990," (adjusted for inflation, 2024 dollars)",1990,,$619.0M,$18.1B,,$18099.2B,618.977758990,1990
1991,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette Single,Value (Adjusted),1991,530.645709251," (adjusted for inflation, 2024 dollars)",1991,,$530.6M,$18.0B,,$18043.3B,530.645709251,1991
1992,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette Single,Value (Adjusted),1992,668.070372060," (adjusted for inflation, 2024 dollars)",1992,,$668.1M,$20.2B,,$20176.3B,668.070372060,1992
1993,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette Single,Value (Adjusted),1993,648.001152249," (adjusted for inflation, 2024 dollars)",1993,,$648.0M,$21.8B,,$21809.7B,648.001152249,1993
1994,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette Single,Value (Adjusted),1994,581.869811741," (adjusted for inflation, 2024 dollars)",1994,,$581.9M,$25.5B,,$25543.9B,581.869811741,1994
1995,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette Single,Value (Adjusted),1995,486.382616142," (adjusted for inflation, 2024 dollars)",1995,,$486.4M,$25.4B,,$25359.2B,486.382616142,1995
1996,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette Single,Value (Adjusted),1996,378.466078394," (adjusted for inflation, 2024 dollars)",1996,,$378.5M,$25.1B,,$25058.7B,378.466078394,1996
1997,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette Single,Value (Adjusted),1997,260.918887850," (adjusted for inflation, 2024 dollars)",1997,,$260.9M,$23.9B,,$23916.2B,260.918887850,1997
1998,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette Single,Value (Adjusted),1998,181.670193865," (adjusted for inflation, 2024 dollars)",1998,,$181.7M,$26.4B,,$26386.8B,181.670193865,1998
1999,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette Single,Value (Adjusted),1999,90.378583433," (adjusted for inflation, 2024 dollars)",1999,,$90.4M,$27.5B,,$27461.3B,90.378583433,1999
2000,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Cassette Single,Value (Adjusted),2000,8.379613240," (adjusted for inflation, 2024 dollars)",2000,,$8.4M,$26.1B,,$26092.8B,8.379613240,2000
2001,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",DVD Audio,Value (Adjusted),2001,10.627521174," (adjusted for inflation, 2024 dollars)",2001,,$10.6M,$24.3B,,$24348.0B,10.627521174,2001
2002,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",DVD Audio,Value (Adjusted),2002,14.821325737," (adjusted for inflation, 2024 dollars)",2002,,$14.8M,$22.0B,,$21998.0B,14.821325737,2002
2003,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",DVD Audio,Value (Adjusted),2003,13.638652174," (adjusted for inflation, 2024 dollars)",2003,,$13.6M,$20.2B,,$20209.8B,13.638652174,2003
2004,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",DVD Audio,Value (Adjusted),2004,10.793957120," (adjusted for inflation, 2024 dollars)",2004,,$10.8M,$20.5B,,$20500.4B,10.793957120,2004
2005,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",DVD Audio,Value (Adjusted),2005,17.989333333," (adjusted for inflation, 2024 dollars)",2005,,$18.0M,$19.7B,,$19739.9B,17.989333333,2005
2006,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",DVD Audio,Value (Adjusted),2006,3.734392857," (adjusted for inflation, 2024 dollars)",2006,,$3.7M,$18.3B,,$18297.7B,3.734392857,2006
2007,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",DVD Audio,Value (Adjusted),2007,4.236137396," (adjusted for inflation, 2024 dollars)",2007,,$4.2M,$16.1B,,$16113.8B,4.236137396,2007
2008,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",DVD Audio,Value (Adjusted),2008,1.748358360," (adjusted for inflation, 2024 dollars)",2008,,$1.7M,$12.8B,,$12787.5B,1.748358360,2008
2009,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",DVD Audio,Value (Adjusted),2009,2.339467784," (adjusted for inflation, 2024 dollars)",2009,,$2.3M,$11.5B,,$11450.2B,2.339467784,2009
2010,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",DVD Audio,Value (Adjusted),2010,1.294713743," (adjusted for inflation, 2024 dollars)",2010,,$1.3M,$10.1B,,$10089.8B,1.294713743,2010
2011,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",DVD Audio,Value (Adjusted),2011,0.418365424," (adjusted for inflation, 2024 dollars)",2011,,$0.4M,$10.0B,,$9951.0B,0.418365424,2011
2012,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",DVD Audio,Value (Adjusted),2012,0.250174870," (adjusted for inflation, 2024 dollars)",2012,,$0.3M,$9.6B,,$9585.4B,0.250174870,2012
2014,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",DVD Audio,Value (Adjusted),2014,2.834910466," (adjusted for inflation, 2024 dollars)",2014,,$2.8M,$8.9B,,$8870.9B,2.834910466,2014
2015,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",DVD Audio,Value (Adjusted),2015,7.168315399," (adjusted for inflation, 2024 dollars)",2015,,$7.2M,$8.9B,,$8881.7B,7.168315399,2015
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",DVD Audio,Value (Adjusted),2016,3.706043622," (adjusted for inflation, 2024 dollars)",2016,,$3.7M,$9.8B,,$9791.6B,3.706043622,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",DVD Audio,Value (Adjusted),2017,0.395222366," (adjusted for inflation, 2024 dollars)",2017,,$0.4M,$10.9B,,$10881.9B,0.395222366,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",DVD Audio,Value (Adjusted),2018,0.410828767," (adjusted for inflation, 2024 dollars)",2018,,$0.4M,$12.2B,,$12165.2B,0.410828767,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",DVD Audio,Value (Adjusted),2019,1.570156350," (adjusted for inflation, 2024 dollars)",2019,,$1.6M,$13.6B,,$13639.5B,1.570156350,2019
2020,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",DVD Audio,Value (Adjusted),2020,2.234690898," (adjusted for inflation, 2024 dollars)",2020,,$2.2M,$14.7B,,$14748.9B,2.234690898,2020
2021,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",DVD Audio,Value (Adjusted),2021,6.666489111," (adjusted for inflation, 2024 dollars)",2021,,$6.7M,$17.4B,,$17391.8B,6.666489111,2021
2022,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",DVD Audio,Value (Adjusted),2022,0.078436745," (adjusted for inflation, 2024 dollars)",2022,,$0.1M,$17.0B,,$17035.5B,0.078436745,2022
2004,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Album,Value (Adjusted),2004,75.557699841," (adjusted for inflation, 2024 dollars)",2004,,$75.6M,$20.5B,,$20500.4B,75.557699841,2004
2005,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Album,Value (Adjusted),2005,217.960047619," (adjusted for inflation, 2024 dollars)",2005,,$218.0M,$19.7B,,$19739.9B,217.960047619,2005
2006,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Album,Value (Adjusted),2006,429.299578869," (adjusted for inflation, 2024 dollars)",2006,,$429.3M,$18.3B,,$18297.7B,429.299578869,2006
2007,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Album,Value (Adjusted),2007,752.519550308," (adjusted for inflation, 2024 dollars)",2007,,$752.5M,$16.1B,,$16113.8B,752.519550308,2007
2008,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Album,Value (Adjusted),2008,925.610055132," (adjusted for inflation, 2024 dollars)",2008,,$925.6M,$12.8B,,$12787.5B,925.610055132,2008
2009,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Album,Value (Adjusted),2009,1088.291169822," (adjusted for inflation, 2024 dollars)",2009,$1.1B,,$11.5B,,$11450.2B,1088.291169822,2009
2010,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Album,Value (Adjusted),2010,1255.009188465," (adjusted for inflation, 2024 dollars)",2010,$1.3B,,$10.1B,,$10089.8B,1255.009188465,2010
2011,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Album,Value (Adjusted),2011,1493.285651666," (adjusted for inflation, 2024 dollars)",2011,$1.5B,,$10.0B,,$9951.0B,1493.285651666,2011
2012,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Album,Value (Adjusted),2012,1646.120910996," (adjusted for inflation, 2024 dollars)",2012,$1.6B,,$9.6B,,$9585.4B,1646.120910996,2012
2013,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Album,Value (Adjusted),2013,1659.141709638," (adjusted for inflation, 2024 dollars)",2013,$1.7B,,$9.5B,,$9473.1B,1659.141709638,2013
2014,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Album,Value (Adjusted),2014,1481.282677198," (adjusted for inflation, 2024 dollars)",2014,$1.5B,,$8.9B,,$8870.9B,1481.282677198,2014
2015,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Album,Value (Adjusted),2015,1408.764407788," (adjusted for inflation, 2024 dollars)",2015,$1.4B,,$8.9B,,$8881.7B,1408.764407788,2015
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Album,Value (Adjusted),2016,1135.252169496," (adjusted for inflation, 2024 dollars)",2016,$1.1B,,$9.8B,,$9791.6B,1135.252169496,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Album,Value (Adjusted),2017,831.500906144," (adjusted for inflation, 2024 dollars)",2017,,$831.5M,$10.9B,,$10881.9B,831.500906144,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Album,Value (Adjusted),2018,618.688814104," (adjusted for inflation, 2024 dollars)",2018,,$618.7M,$12.2B,,$12165.2B,618.688814104,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Album,Value (Adjusted),2019,452.157198446," (adjusted for inflation, 2024 dollars)",2019,,$452.2M,$13.6B,,$13639.5B,452.157198446,2019
2020,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Album,Value (Adjusted),2020,386.971142259," (adjusted for inflation, 2024 dollars)",2020,,$387.0M,$14.7B,,$14748.9B,386.971142259,2020
2021,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Album,Value (Adjusted),2021,351.085057829," (adjusted for inflation, 2024 dollars)",2021,,$351.1M,$17.4B,,$17391.8B,351.085057829,2021
2022,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Album,Value (Adjusted),2022,259.248206941," (adjusted for inflation, 2024 dollars)",2022,,$259.2M,$17.0B,,$17035.5B,259.248206941,2022
2023,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Album,Value (Adjusted),2023,210.916284947," (adjusted for inflation, 2024 dollars)",2023,,$210.9M,$17.6B,,$17611.4B,210.916284947,2023
2024,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Album,Value (Adjusted),2024,166.691823272," (adjusted for inflation, 2024 dollars)",2024,,$166.7M,$17.7B,,$17674.6B,166.691823272,2024
2005,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Music Video,Value (Adjusted),2005,5.942904762," (adjusted for inflation, 2024 dollars)",2005,,$5.9M,$19.7B,,$19739.9B,5.942904762,2005
2006,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Music Video,Value (Adjusted),2006,30.653141369," (adjusted for inflation, 2024 dollars)",2006,,$30.7M,$18.3B,,$18297.7B,30.653141369,2006
2007,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Music Video,Value (Adjusted),2007,42.663955204," (adjusted for inflation, 2024 dollars)",2007,,$42.7M,$16.1B,,$16113.8B,42.663955204,2007
2008,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Music Video,Value (Adjusted),2008,60.172666893," (adjusted for inflation, 2024 dollars)",2008,,$60.2M,$12.8B,,$12787.5B,60.172666893,2008
2009,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Music Video,Value (Adjusted),2009,59.802645231," (adjusted for inflation, 2024 dollars)",2009,,$59.8M,$11.5B,,$11450.2B,59.802645231,2009
2010,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Music Video,Value (Adjusted),2010,52.651692226," (adjusted for inflation, 2024 dollars)",2010,,$52.7M,$10.1B,,$10089.8B,52.651692226,2010
2011,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Music Video,Value (Adjusted),2011,45.183465740," (adjusted for inflation, 2024 dollars)",2011,,$45.2M,$10.0B,,$9951.0B,45.183465740,2011
2012,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Music Video,Value (Adjusted),2012,28.476275733," (adjusted for inflation, 2024 dollars)",2012,,$28.5M,$9.6B,,$9585.4B,28.476275733,2012
2013,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Music Video,Value (Adjusted),2013,22.542382295," (adjusted for inflation, 2024 dollars)",2013,,$22.5M,$9.5B,,$9473.1B,22.542382295,2013
2014,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Music Video,Value (Adjusted),2014,17.990393294," (adjusted for inflation, 2024 dollars)",2014,,$18.0M,$8.9B,,$8870.9B,17.990393294,2014
2015,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Music Video,Value (Adjusted),2015,8.489402371," (adjusted for inflation, 2024 dollars)",2015,,$8.5M,$8.9B,,$8881.7B,8.489402371,2015
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Music Video,Value (Adjusted),2016,5.580103307," (adjusted for inflation, 2024 dollars)",2016,,$5.6M,$9.8B,,$9791.6B,5.580103307,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Music Video,Value (Adjusted),2017,3.565064849," (adjusted for inflation, 2024 dollars)",2017,,$3.6M,$10.9B,,$10881.9B,3.565064849,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Music Video,Value (Adjusted),2018,2.774290866," (adjusted for inflation, 2024 dollars)",2018,,$2.8M,$12.2B,,$12165.2B,2.774290866,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Music Video,Value (Adjusted),2019,2.276096402," (adjusted for inflation, 2024 dollars)",2019,,$2.3M,$13.6B,,$13639.5B,2.276096402,2019
2020,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Music Video,Value (Adjusted),2020,2.174671061," (adjusted for inflation, 2024 dollars)",2020,,$2.2M,$14.7B,,$14748.9B,2.174671061,2020
2021,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Music Video,Value (Adjusted),2021,2.213460791," (adjusted for inflation, 2024 dollars)",2021,,$2.2M,$17.4B,,$17391.8B,2.213460791,2021
2022,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Music Video,Value (Adjusted),2022,1.439441491," (adjusted for inflation, 2024 dollars)",2022,,$1.4M,$17.0B,,$17035.5B,1.439441491,2022
2004,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Single,Value (Adjusted),2004,229.164012705," (adjusted for inflation, 2024 dollars)",2004,,$229.2M,$20.5B,,$20500.4B,229.164012705,2004
2005,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Single,Value (Adjusted),2005,583.529," (adjusted for inflation, 2024 dollars)",2005,,$583.5M,$19.7B,,$19739.9B,583.529,2005
2006,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Single,Value (Adjusted),2006,903.411872024," (adjusted for inflation, 2024 dollars)",2006,,$903.4M,$18.3B,,$18297.7B,903.411872024,2006
2007,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Single,Value (Adjusted),2007,1226.966938681," (adjusted for inflation, 2024 dollars)",2007,$1.2B,,$16.1B,,$16113.8B,1226.966938681,2007
2008,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Single,Value (Adjusted),2008,1503.879582728," (adjusted for inflation, 2024 dollars)",2008,$1.5B,,$12.8B,,$12787.5B,1503.879582728,2008
2009,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Single,Value (Adjusted),2009,1713.660151862," (adjusted for inflation, 2024 dollars)",2009,$1.7B,,$11.5B,,$11450.2B,1713.660151862,2009
2010,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Single,Value (Adjusted),2010,1922.506051656," (adjusted for inflation, 2024 dollars)",2010,$1.9B,,$10.1B,,$10089.8B,1922.506051656,2010
2011,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Single,Value (Adjusted),2011,2123.065069197," (adjusted for inflation, 2024 dollars)",2011,$2.1B,,$10.0B,,$9951.0B,2123.065069197,2011
2012,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Single,Value (Adjusted),2012,2246.939036542," (adjusted for inflation, 2024 dollars)",2012,$2.2B,,$9.6B,,$9585.4B,2246.939036542,2012
2013,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Single,Value (Adjusted),2013,2118.694497394," (adjusted for inflation, 2024 dollars)",2013,$2.1B,,$9.5B,,$9473.1B,2118.694497394,2013
2014,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Single,Value (Adjusted),2014,1795.892914032," (adjusted for inflation, 2024 dollars)",2014,$1.8B,,$8.9B,,$8870.9B,1795.892914032,2014
2015,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Single,Value (Adjusted),2015,1568.646957074," (adjusted for inflation, 2024 dollars)",2015,$1.6B,,$8.9B,,$8881.7B,1568.646957074,2015
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Single,Value (Adjusted),2016,1176.536636907," (adjusted for inflation, 2024 dollars)",2016,$1.2B,,$9.8B,,$9791.6B,1176.536636907,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Single,Value (Adjusted),2017,854.705183699," (adjusted for inflation, 2024 dollars)",2017,,$854.7M,$10.9B,,$10881.9B,854.705183699,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Single,Value (Adjusted),2018,611.952851803," (adjusted for inflation, 2024 dollars)",2018,,$612.0M,$12.2B,,$12165.2B,611.952851803,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Single,Value (Adjusted),2019,494.440723079," (adjusted for inflation, 2024 dollars)",2019,,$494.4M,$13.6B,,$13639.5B,494.440723079,2019
2020,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Single,Value (Adjusted),2020,376.200762293," (adjusted for inflation, 2024 dollars)",2020,,$376.2M,$14.7B,,$14748.9B,376.200762293,2020
2021,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Single,Value (Adjusted),2021,311.284500642," (adjusted for inflation, 2024 dollars)",2021,,$311.3M,$17.4B,,$17391.8B,311.284500642,2021
2022,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Single,Value (Adjusted),2022,229.532869346," (adjusted for inflation, 2024 dollars)",2022,,$229.5M,$17.0B,,$17035.5B,229.532869346,2022
